,Factor 1,Factor 2,Factor 3,Factor 4,Factor 5,Factor 6,Factor 7,Factor 8,Factor 9,Factor 10
si_social_media_1,0.09490146124015851,0.132656798052197,0.7849818952276972,0.1374992652936976,0.15027283315717593,0.2182269345630104,0.05249125742035,0.10810021605655286,-0.004307575169426505,0.09956779096731312
si_social_media_2,0.11690360076550244,0.13871409415997457,0.7277146716441164,0.08108510988807559,0.11553782536452284,0.3472926654442333,0.007930449707492196,0.09334781058177777,-0.11336634941870652,-0.14031418316642993
si_reviews_1,0.3553885782709137,0.16945134495692268,0.28390043131871157,0.13540827752125068,0.23559932497652197,0.14120758686021115,0.005486737356883152,0.5710331261719892,0.07624528161237676,0.0685749489288464
si_reviews_2,0.3514820021993219,0.23076338760208293,0.519404313215828,0.10929696248840881,0.22203167007362098,0.0018525386500752854,-0.029791606932926696,0.4972894475212358,-0.08167675071562026,-0.05818078314267107
si_social_proof_1,0.22697262554512537,0.2513970591819668,0.35995915480881474,0.1512297909797227,0.11117496839790707,0.5849275376297989,0.039807111339026306,0.2658408618482408,0.0018886676227835243,0.0370404977134933
si_social_proof_2,0.18337735540395733,0.19221866005529856,0.3081563843803781,0.09170835222010916,0.08928829085434345,0.679327391462259,0.036003993669353855,0.15117325377074214,-0.06140240360933753,0.0638242083728137
si_normative_1,0.08145931069289562,0.17207721529061157,0.26709492079041025,0.24244440065703354,0.0986755163815751,0.6714834990028538,0.07126651194997496,0.1583060650257645,0.07785965014473943,-0.06454060818183753
si_normative_2,-0.17864205217289952,0.07579447956034753,-0.023566467854135104,0.24601826390813303,0.014457603934245375,0.7079737624384438,0.1424014079200557,0.04511965642487418,0.08997676351040501,0.04348557806885525
si_sharing_1,0.19869128222015583,0.24284303065475887,0.1300831689564461,0.18382458371631924,0.25310350119566466,0.13018840900741782,0.0742374360254428,0.5834567259225759,0.1243516433612172,0.005078550420006354
si_sharing_2,0.1907392814731523,0.2741707271689037,0.16733724700064395,0.16633366310751796,0.21847738921545137,0.35975024486722007,-0.0028823857606902013,0.5504565927900928,0.17033604289127477,0.015067299153813234
att_positive_1,0.2255059763746672,0.1325677689773186,0.202935572572848,0.0806841184162641,0.384510579997379,0.061709277929435785,0.026608635344782163,0.014542023304838012,-0.12371969569807054,-0.013131204512145332
att_positive_2,0.15675993446931163,0.1213578547282253,0.1444168235143591,0.13648937106094788,0.5392436429318318,0.10768057872360126,0.06760126190132362,0.08063646835584917,0.05370947848260725,0.12439956178824957
risk_security_1,-0.018755246317074127,-0.05528024590901026,-0.05826184280084171,0.018304659673428147,0.37034280884109466,0.005937112369537906,0.001474027560516591,0.023959877806222208,0.44040812872117074,-0.030550690811106573
risk_authenticity_1,0.11626820789116214,0.17557614743117472,0.1867380605424926,0.013171138037421358,0.4487269537597544,0.1047878903608853,-0.028825410320610898,-0.02541248679069488,0.34532871344016,-0.10653537445319744
opi_satisfaction,0.0015797275533162279,-0.03710583533903719,-0.0478546915607502,0.02874158811075979,-0.030316544394475817,0.021431142337281963,0.059351251281033905,0.04659794464497088,0.24776205441306123,0.03364316229026811
opi_behavior_change,0.05839569086115166,0.05909877861113484,0.05170342270361951,0.05984703152781098,0.8972332298094101,0.07668535103097893,0.09659978718054556,0.08929988940659683,-0.10716328193763307,0.07734573393744408
opi_convenience,0.07367316588002512,0.06742548308377933,0.05148136612833457,0.06074190224716046,0.8458445391331967,0.038509011204580536,0.058507641082124195,0.11476133237577776,-0.061465468840106625,0.024475010420592063
opi_value,0.09476226205246799,0.1207368882699855,0.12993231920237658,0.01311449922230959,0.6228026663673824,0.002305975620584955,-0.029314471568570276,0.04174612823644221,0.27775456819485955,-0.08751405018813098
opi_purchased?,-0.0046931805735307836,0.028582105713390402,-0.002893091977393155,-0.06823708042988368,0.09839980158095737,-0.046804516927472194,-0.04936707421257634,-0.13523105292586854,-0.002732132855516874,0.009220320808659517
